Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Lebanon,45,6819976,667,2020-10-23,68479.0,,,,0.757,2.9,,Asia,1.06,559.0,,0.008163086493669593,1.0,1964000,2020-02-22,33.854721,35.862285,2020-03-16,Full,13081.10746,6.74,93.9
Libya,46,6887247,4,2020-11-09,69040.0,,4.0,,0.706,3.7,,Africa,1.0,944.0,0.239,0.013673232908458864,1.0,14000,2020-03-25,26.3351,17.228331,2020-03-22,Full,20764.16414,4.64,91
Liechtenstein,47,38147,238,2020-10-26,402.0,,,,0.916,2.397,,Europe,0.6,1.0,,0.0024875621890547263,4.0,85300,2020-03-05,47.166,9.555373,,,,,
Lithuania,48,2715340,43,2020-11-11,28215.0,1053934.0,3.7,0.7,0.858,6.56,,Europe,0.86,239.0,0.084,0.008470671628566365,,2825000,2020-02-29,55.169438,23.881275,2020-03-16,Full,35461.3591,8.32,99.8
Luxembourg,49,627704,242,2020-07-27,6321.0,454519.0,13.9,0.2,0.904,4.51,,Europe,0.78,112.0,0.004,0.017718715393133997,3.0,1018000,2020-03-01,49.815273,6.129583,2020-03-16,Full,113337.4205,8.56,
Maldives,50,542151,1802,2020-08-13,5494.0,93098.0,7.4,,0.717,,95.803,Asia,0.88,21.0,0.006,0.003822351656352384,2.0,1484000,2020-03-09,3.202778,73.22068,2020-03-11,Full,15307.72194,,99.3
Malta,51,441750,1380,2020-10-17,4486.0,297738.0,17.0,0.2,0.878,4.485,,Europe,0.87,45.0,0.025,0.010031208203299153,3.0,2599000,2020-03-08,35.937496,14.375416,2020-03-12,Full,42581.09786,8.37,94.1
Mexico,52,129166028,66,2020-12-18,1301546.0,3073836.0,2.2,2.5,0.774,1.38,87.847,North America,1.05,117249.0,0.353,0.09008440731253448,1.0,41313000,2020-02-29,23.634501,-102.552784,2020-03-14,Partial,19844.64567,6.65,94.4
Moldova,53,4032294,123,2020-09-08,40556.0,,,0.2,0.7,5.8,86.979,Europe,0.78,1087.0,,0.026802446000591774,3.0,160000,2020-03-09,47.411631,28.369885,2020-03-11,Full,7271.641919,6.93,99.4
Monaco,54,39290,26337,2020-11-03,397.0,,,,,13.8,,Europe,0.74,2.0,,0.005037783375314861,,347000,2020-03-01,43.750298,7.412841,2020-03-17,Full,,,
Montenegro,55,628080,47,2020-09-11,6385.0,,,1.0,0.814,3.861,,Europe,0.85,115.0,,0.018010963194988253,,2077000,2020-03-18,42.708678,19.37439,2020-03-24,Full,20689.98675,7.43,98.7
Morocco,56,36985624,83,2020-12-04,372620.0,4038601.0,5.1,1.0,0.667,1.1,,Africa,0.78,6136.0,0.048,0.016467178358649564,,12289000,2020-03-03,31.791702,-7.09262,2020-03-16,Full,8611.709833,6.18,72.4
Namibia,57,2548663,3,2021-01-05,25887.0,217443.0,4.1,13.4,0.647,,44.6,Africa,0.93,222.0,0.094,0.008575732993394368,1.0,14000,2020-03-15,-22.95764,18.49041,2020-03-14,Full,11101.82628,6.75,81.9
Netherlands,58,17141544,508,2020-10-10,173894.0,2944206.0,6.2,,0.931,3.32,,Europe,0.82,6624.0,0.103,0.038092171092734654,3.0,18780000,2020-02-28,52.132633,5.291266,2020-03-24,Full,56328.94114,8.5,
North Macedonia,59,2083359,83,2020-10-11,20937.0,206824.0,2.5,5.0,0.757,4.28,,Europe,0.77,792.0,0.14,0.037827769021349766,,707000,2020-02-27,41.6086,21.7453,2020-03-18,Full,16358.66205,7.34,
Norway,60,5428594,15,2021-01-08,54476.0,3014272.0,38.3,0.2,0.953,3.6,,Europe,0.84,472.0,0.015,0.008664365959321536,3.0,5688000,2020-02-27,60.472024,8.468946,2020-03-12,Full,65510.58527,8.44,
Oman,61,5128058,16,2020-07-09,51725.0,,2.8,,0.821,1.6,97.4,Asia,1.08,236.0,0.328,0.004562590623489608,1.0,2301000,2020-02-25,21.512583,55.923255,2020-03-29,Partial,41859.93448,5.98,94.8
Panama,62,4326296,58,2020-07-11,44332.0,158570.0,2.4,2.2,0.789,2.3,,North America,0.85,893.0,0.099,0.020143462961292068,2.0,1785000,2020-03-11,8.537981,-80.782127,2020-03-25,Full,25553.69671,7.69,95
Paraguay,63,7147553,18,2020-11-15,71574.0,402564.0,3.0,1.7,0.702,1.3,79.602,South America,1.06,1587.0,0.196,0.022172856065051556,2.0,1181000,2020-03-09,-23.442503,-58.443832,2020-03-15,Partial,13599.92656,6.9,95.6
Peru,64,33050211,26,2020-07-14,333867.0,364350.0,3.3,3.5,0.75,1.6,,South America,0.93,12229.0,0.042,0.03662835799884385,1.0,4419000,2020-03-07,-9.189967,-75.015152,2020-03-10,Full,14418.07067,7.55,94.5
Poland,65,37839255,124,2020-11-01,379902.0,4585135.0,2.0,,0.865,6.62,,Europe,0.75,5783.0,0.069,0.015222346815757747,3.0,19622000,2020-03-05,51.919438,19.145136,2020-03-12,Full,31336.6035,7.78,99.8
Portugal,66,10191409,111,2020-10-20,103736.0,3136943.0,4.9,0.5,0.847,3.39,,Europe,0.86,2213.0,0.075,0.021332999151692757,3.0,16186000,2020-03-03,39.399872,-8.224454,2020-03-18,Full,33415.4379,8.27,95.4
Qatar,67,2889284,248,2020-05-15,29425.0,148173.0,2.5,,0.856,1.2,,Asia,0.68,14.0,0.029,0.000475785896346644,1.0,1819300,2020-03-01,25.354826,51.183884,2020-03-11,Full,126898.4259,6.15,97.8
Romania,68,19214608,84,2020-10-22,196004.0,2961452.0,3.4,5.7,0.811,6.892,,Europe,0.82,6163.0,0.115,0.03144323585232955,3.0,11720000,2020-02-27,45.943161,24.96676,2020-03-25,Full,28206.35705,8.11,98.8
Russia,69,145945524,9,2020-10-23,1471000.0,56794639.0,10.3,0.1,0.816,8.05,,Europe,0.92,25353.0,0.031,0.01723521414004079,4.0,24551000,2020-02-01,61.52401,105.318756,2020-03-27,Full,,6.34,99.7
Saint Lucia,70,183774,301,2021-02-08,2027.0,,,,0.747,1.3,87.202,North America,,19.0,,0.009373458312777503,2.0,14000,2020-03-15,13.909444,-60.978893,2020-03-20,Full,,,
San Marino,71,33944,566,2020-04-10,344.0,,,,,3.8,,Europe,0.11,34.0,,0.09883720930232558,3.0,84000,2020-02-28,43.94236,12.457777,2020-03-09,Full,63037.12578,,
Saudi Arabia,72,34905942,16,2020-11-05,349386.0,8638296.0,134.6,,0.853,2.7,,Asia,0.84,5489.0,0.003,0.015710417704201084,1.0,15334000,2020-03-03,23.885942,45.079162,2020-03-15,Full,55335.67959,5.42,94.7
