Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Lesotho,80,2145194,71,2021-10-09,21455.0,408742.0,5.5,59.6,0.527,,2.117,Africa,0.14,652.0,0.0,0.030389186669773947,3.0,,,,,,,3219.457157,6.54,79.4
Libya,81,6887247,4,2020-11-09,69040.0,,4.0,,0.724,3.7,,Africa,0.29,944.0,0.2394,0.013673232908458864,1.0,14000.0,2020-03-25,26.3351,17.228331,2020-03-22,Full,20764.16414,4.64,91
Liechtenstein,82,38147,238,2020-10-25,412.0,10604.0,2.9,,0.919,2.397,,Europe,0.64,1.0,0.006,0.0024271844660194173,4.0,85300.0,2020-03-05,47.166,9.555373,,,,,
Lithuania,83,2715340,43,2020-11-10,27374.0,1040467.0,2.0,0.7,0.882,6.56,,Europe,0.4,229.0,0.004,0.008365602396434572,,2825000.0,2020-02-29,55.169438,23.881275,2020-03-16,Full,35461.3591,8.32,99.8
Luxembourg,84,627704,242,2020-07-27,6321.0,449825.0,2.5,0.2,0.916,4.51,,Europe,0.69,112.0,0.002,0.017718715393133997,3.0,1018000.0,2020-03-01,49.815273,6.129583,2020-03-16,Full,113337.4205,8.56,
Malaysia,85,32436963,99,2021-03-15,324971.0,9391347.0,6.4,0.1,0.81,1.9,,Asia,0.51,1218.0,0.0232,0.0037480267470020403,2.0,25832000.0,2020-01-26,4.210484,101.975766,2020-03-18,Full,31782.15336,6.52,94.6
Maldives,86,542151,1802,2020-08-13,5494.0,82568.0,2.7,,0.74,,95.803,Asia,0.25,21.0,0.0,0.003822351656352384,2.0,1484000.0,2020-03-09,3.202778,73.22068,2020-03-11,Full,15307.72194,,99.3
Malta,87,441750,1380,2020-10-17,4486.0,295361.0,4.0,0.2,0.895,4.485,,Europe,0.33,45.0,0.0006,0.010031208203299153,3.0,2599000.0,2020-03-08,35.937496,14.375416,2020-03-12,Full,42581.09786,8.37,94.1
Mauritania,88,4669775,5,2022-01-07,47036.0,763203.0,1.7,6.0,0.546,,15.95,Africa,0.16,881.0,0.0003,0.018730334212092865,1.0,14000.0,2020-03-15,21.00789,-10.940835,,,4150.965246,5.47,52.1
Mauritius,89,1272140,626,2021-09-08,12783.0,359627.0,3.4,0.5,0.804,3.4,,Africa,0.22,37.0,0.0,0.0028944692169287334,2.0,1399000.0,2020-03-19,-20.348404,57.552152,2020-03-17,Partial,23750.98804,7.52,90.6
